Industry Name,Number of Firms,Beta,Cost of Equity,E/(D+E),Std Dev in Stock,Cost of Debt,Tax Rate,After-tax Cost of Debt,D/(D+E),Cost of Capital
Advertising,44,1.078738052,0.08742428312,0.6399672732,0.7103290925,0.0452,0.03902880099,0.02712,0.3600327268,0.06571276763
Aerospace/Defense,92,1.329516958,0.1024710175,0.8298906785,0.4689667204,0.0352,0.1351056698,0.02112,0.1701093215,0.08863245107
Air Transport,20,1.268284483,0.09879706897,0.5889906044,0.5194570637,0.0402,0.183368191,0.02412,0.4110093956,0.06810409199
Apparel,63,1.055835652,0.08605013914,0.7821278073,0.6061929086,0.0402,0.1384206909,0.02412,0.2178721927,0.07255728393
Auto & Truck,19,0.9554061303,0.08002436782,0.4385115863,0.3370867626,0.0352,0.08005992933,0.02112,0.5614884137,0.04695024777
Auto Parts,65,1.28558287,0.09983497219,0.7523722854,0.5506473425,0.0402,0.09644324414,0.02412,0.2476277146,0.08108584667
Bank (Money Center),9,1.110528736,0.08933172414,0.3160464018,0.3276895097,0.0352,0.258203719,0.02112,0.6839535982,0.04267806997
Banks (Regional),644,0.5111829713,0.05337097828,0.5599319112,0.2892528974,0.0352,0.2411170178,0.02112,0.4400680888,0.03917835191
Beverage (Alcoholic),22,0.9382825166,0.078996951,0.8456348587,0.5851136497,0.0402,0.1128459467,0.02412,0.1543651413,0.0705258627
Beverage (Soft),43,1.152528114,0.09185168686,0.8131660567,0.5455021303,0.0402,0.05974190557,0.02412,0.1868339433,0.07919710872
Broadcasting,29,1.291246914,0.1001748148,0.5135325737,0.4722085,0.0352,0.2120032494,0.02112,0.4864674263,0.06171722251
Brokerage & Investment Banking,42,1.348491768,0.1036095061,0.2593735902,0.480472471,0.0352,0.1815070568,0.02112,0.7406264098,0.04251559934
Building Materials,39,1.177327094,0.09333962562,0.7510374654,0.4427377701,0.0352,0.2242858359,0.02112,0.2489625346,0.07535964457
Business & Consumer Services,159,1.189130241,0.09404781447,0.738946682,0.5013162961,0.0402,0.1375861101,0.02412,0.261053318,0.07579292648
Cable TV,19,1.23131681,0.09657900862,0.6684133442,0.4158222248,0.0352,0.1718727674,0.02112,0.3315866558,0.0715578083
Chemical (Basic),42,1.168173926,0.09279043557,0.6174912268,0.542001032,0.0402,0.08242702444,0.02412,0.3825087732,0.06652339151
Chemical (Diversified),9,1.554862069,0.1159917241,0.7232096665,0.4055813482,0.0352,0.1835449742,0.02112,0.2767903335,0.08973214797
Chemical (Specialty),104,1.247181753,0.09753090517,0.7611534108,0.5042901809,0.0402,0.08450686594,0.02412,0.2388465892,0.07999696086
Coal & Related Energy,38,1.487334052,0.1119400431,0.2426717973,0.8677657261,0.0652,0.00945441332,0.03912,0.7573282027,0.05679137074
Computer Services,118,1.170891494,0.09295348966,0.7759975202,0.5173868121,0.0402,0.1284213255,0.02412,0.2240024798,0.07753461728
Computers/Peripherals,64,1.32883591,0.1024301546,0.8428450662,0.6391141106,0.0402,0.05475413209,0.02412,0.1571549338,0.09012332742
Construction Supplies,52,1.649170881,0.1216502529,0.6286073206,0.4241387044,0.0352,0.1699953823,0.02112,0.3713926794,0.0843140529
Diversified,26,1.008403866,0.08320423197,0.6421696067,0.2737169504,0.0352,0.1520301449,0.02112,0.3578303933,0.06098860683
Drugs (Biotechnology),411,1.281840198,0.09961041188,0.8749729041,0.888880844,0.0652,0.01799160193,0.03912,0.1250270959,0.09204747135
Drugs (Pharmaceutical),157,1.017186759,0.08373120556,0.8848592617,0.7730491688,0.0452,0.03899549745,0.02712,0.1151407383,0.07721294956
Education,40,1.052846038,0.08587076225,0.6838212464,0.5961637078,0.0402,0.1205063195,0.02412,0.3161787536,0.06634648321
Electrical Equipment,120,1.149706583,0.09168239498,0.820279701,0.7103905555,0.0452,0.06579338074,0.02712,0.179720299,0.08007922205
Electronics (Consumer & Office),25,1.230743128,0.09654458771,0.8710164929,0.6342445945,0.0402,0.0970932277,0.02412,0.1289835071,0.08720301039
Electronics (General),167,1.025015226,0.08420091357,0.8347743974,0.5934398263,0.0402,0.09473447197,0.02412,0.1652256026,0.07427400842
Engineering/Construction,51,1.316283134,0.101676988,0.7046738304,0.5701516623,0.0402,0.1163115389,0.02412,0.2953261696,0.07877237984
Entertainment,84,1.213070318,0.09548421907,0.7695771792,0.6316266122,0.0402,0.03252741379,0.02412,0.2304228208,0.0790402744
Environmental & Waste Services,97,1.104864608,0.0889918765,0.7204466933,0.6551442901,0.0452,0.0748702914,0.02712,0.2795533067,0.07169538884
Farming/Agriculture,37,1.249872374,0.09769234245,0.5690601409,0.4868629625,0.0352,0.0927795329,0.02112,0.4309398591,0.06469426798
Financial Svcs. (Non-bank & Insurance),272,0.6483987379,0.06160392427,0.06950667073,0.3496922918,0.0352,0.18748372,0.02112,0.9304933293,0.02393390279
Food Processing,89,0.8860088537,0.07586053122,0.7926297101,0.3829316773,0.0352,0.1409010129,0.02112,0.2073702899,0.06450897139
Food Wholesalers,14,0.7299272031,0.06649563218,0.8001974578,0.5448821549,0.0402,0.158479861,0.02412,0.1998025422,0.05802887314
Furn/Home Furnishings,30,1.230253666,0.09651521998,0.7636797784,0.4449267906,0.0352,0.1552645786,0.02112,0.2363202216,0.07869780489
Green & Renewable Energy,28,1.623766284,0.120125977,0.4293366959,0.6236484861,0.0402,0.007738095238,0.02412,0.5706633041,0.06533888896
Healthcare Products,254,1.026593853,0.08429563117,0.8368333597,0.6215712826,0.0402,0.06424545386,0.02412,0.1631666403,0.0744769756
Healthcare Support Services,127,1.049614645,0.08567687872,0.7774959932,0.5431709997,0.0402,0.1383798121,0.02412,0.2225040068,0.07198022656
Heathcare Information and Technology,126,1.109548514,0.08927291084,0.8496373333,0.605189702,0.0402,0.06960058426,0.02412,0.1503626667,0.07947634543
Homebuilding,34,1.122488506,0.09004931034,0.6216483286,0.4171135701,0.0352,0.2179255281,0.02112,0.3783516714,0.06396979057
Hospitals/Healthcare Facilities,58,0.8192988506,0.07185793103,0.5038864306,0.3649176334,0.0352,0.1040965717,0.02112,0.4961135694,0.04668615496
Hotel/Gaming,73,0.9714221223,0.08098532734,0.6434468843,0.4674579496,0.0352,0.1134320887,0.02112,0.3565531157,0.05964015835
Household Products,134,1.047251533,0.08553509195,0.8331704728,0.6201798821,0.0402,0.08856622511,0.02412,0.1668295272,0.0752892412
Information Services,70,1.000408226,0.08272449353,0.8656420736,0.4073777274,0.0352,0.1646289623,0.02112,0.1343579264,0.07444744153
Insurance (General),20,1.041520871,0.08519125227,0.7004601039,0.3356613869,0.0352,0.2172881044,0.02112,0.2995398961,0.06599935602
Insurance (Life),25,1.283077107,0.09968462644,0.5584481966,0.3559074749,0.0352,0.202937323,0.02112,0.4415518034,0.06499427395
Insurance (Prop/Cas.),53,0.8960335812,0.07646201487,0.7610788647,0.3292596034,0.0352,0.2185467817,0.02112,0.2389211353,0.06323963785
Investments & Asset Management,145,1.17319126,0.09309147561,0.5669976959,0.3784087555,0.0352,0.07895965475,0.02112,0.4330023041,0.06192766084
Machinery,130,1.435024437,0.1088014662,0.7838617718,0.4607311819,0.0352,0.1523770119,0.02112,0.2161382282,0.08985014948
Metals & Mining,114,1.554556634,0.1159733981,0.5383427605,0.9102173941,0.0777,0.01419986243,0.04662,0.4616572395,0.08395589976
