Industry Name,Number of Firms,Beta,Cost of Equity,E/(D+E),Std Dev in Stock,Cost of Debt,Tax Rate,After-tax Cost of Debt,D/(D+E),Cost of Capital,Cost of Capital (Local Currency)
Oil/Gas (Production and Exploration),166,0.93,8.16%,81.12%,46.31%,5.09%,5.61%,3.81%,18.88%,7.34%,7.34%
Oil/Gas Distribution,24,0.79,7.52%,58.75%,32.55%,5.09%,9.25%,3.81%,41.25%,5.99%,5.99%
Oilfield Svcs/Equip.,100,0.98,8.39%,75.68%,43.73%,5.09%,10.88%,3.81%,24.32%,7.27%,7.27%
Packaging & Container,22,1.13,9.09%,62.01%,26.24%,5.09%,18.12%,3.81%,37.99%,7.09%,7.09%
Paper/Forest Products,7,1.94,12.80%,72.80%,43.04%,5.09%,12.91%,3.81%,27.20%,10.35%,10.35%
Power,50,0.65,6.87%,51.83%,20.39%,4.50%,13.69%,3.38%,48.17%,5.19%,5.19%
Precious Metals,61,0.87,7.88%,86.80%,63.61%,5.35%,1.98%,4.01%,13.20%,7.37%,7.37%
Publishing & Newspapers,21,0.96,8.30%,75.49%,38.20%,5.09%,10.01%,3.81%,24.51%,7.20%,7.20%
R.E.I.T.,193,1.03,8.63%,55.85%,23.72%,4.50%,1.95%,3.38%,44.15%,6.31%,6.31%
Real Estate (Development),17,0.67,6.96%,51.52%,34.24%,5.09%,1.45%,3.81%,48.48%,5.43%,5.43%
Real Estate (General/Diversified),11,0.56,6.47%,75.83%,35.91%,5.09%,13.21%,3.81%,24.17%,5.83%,5.83%
Real Estate (Operations & Services),60,1.08,8.85%,69.17%,44.19%,5.09%,4.29%,3.81%,30.83%,7.30%,7.30%
Recreation,55,1.17,9.27%,63.06%,44.30%,5.09%,8.26%,3.81%,36.94%,7.25%,7.25%
Reinsurance,1,0.66,6.89%,70.16%,17.09%,4.50%,22.95%,3.38%,29.84%,5.84%,5.84%
Restaurant/Dining,64,1.19,9.38%,79.54%,35.37%,5.09%,11.41%,3.81%,20.46%,8.24%,8.24%
Retail (Automotive),30,1.49,10.75%,63.49%,46.79%,5.09%,13.50%,3.81%,36.51%,8.22%,8.22%
Retail (Building Supply),16,1.94,12.80%,83.39%,45.21%,5.09%,12.59%,3.81%,16.61%,11.30%,11.30%
Retail (Distributors),62,1.11,8.97%,75.59%,37.74%,5.09%,15.76%,3.81%,24.41%,7.71%,7.71%
Retail (General),26,1.25,9.61%,88.16%,38.28%,5.09%,14.58%,3.81%,11.84%,8.93%,8.93%
Retail (Grocery and Food),14,0.49,6.15%,64.17%,25.65%,5.09%,16.88%,3.81%,35.83%,5.31%,5.31%
Retail (REITs),28,1.12,9.04%,62.96%,20.72%,4.50%,2.53%,3.38%,37.04%,6.94%,6.94%
Retail (Special Lines),105,1.18,9.31%,73.45%,44.01%,5.09%,9.53%,3.81%,26.55%,7.85%,7.85%
Rubber& Tires,3,0.67,6.98%,29.83%,40.77%,5.09%,0.00%,3.81%,70.17%,4.76%,4.76%
Semiconductor,63,1.50,10.76%,94.30%,41.47%,5.09%,4.89%,3.81%,5.70%,10.36%,10.36%
Semiconductor Equip,30,1.53,10.91%,92.78%,37.04%,5.09%,12.14%,3.81%,7.22%,10.40%,10.40%
Shipbuilding & Marine,8,0.81,7.61%,77.06%,45.07%,5.09%,6.74%,3.81%,22.94%,6.74%,6.74%
Shoe,13,1.29,9.82%,91.99%,36.28%,5.09%,11.31%,3.81%,8.01%,9.34%,9.34%
Software (Entertainment),84,1.11,8.98%,96.94%,52.79%,5.35%,5.11%,4.01%,3.06%,8.83%,8.83%
Software (Internet),35,1.62,11.31%,89.30%,65.22%,6.09%,2.61%,4.57%,10.70%,10.59%,10.59%
Software (System & Application),351,1.29,9.83%,94.16%,52.09%,5.35%,4.19%,4.01%,5.84%,9.49%,9.49%
Steel,29,1.13,9.06%,83.21%,38.10%,5.09%,15.72%,3.81%,16.79%,8.18%,8.18%
Telecom (Wireless),13,1.09,8.88%,60.92%,60.31%,5.35%,9.56%,4.01%,39.08%,6.98%,6.98%
Telecom. Equipment,66,1.08,8.85%,89.75%,46.62%,5.09%,6.20%,3.81%,10.25%,8.33%,8.33%
Telecom. Services,42,0.78,7.49%,44.46%,50.42%,5.35%,6.62%,4.01%,55.54%,5.56%,5.56%
Tobacco,16,1.22,9.51%,74.13%,48.00%,5.09%,9.95%,3.81%,25.87%,8.03%,8.03%
Transportation,36,1.26,9.67%,74.86%,53.12%,5.35%,6.53%,4.01%,25.14%,8.25%,8.25%
Transportation (Railroads),4,1.02,8.56%,78.86%,22.28%,4.50%,17.28%,3.38%,21.14%,7.46%,7.46%
Trucking,22,1.15,9.16%,83.37%,28.33%,5.09%,20.21%,3.81%,16.63%,8.27%,8.27%
Utility (General),14,0.58,6.55%,54.10%,14.93%,4.50%,14.05%,3.38%,45.90%,5.09%,5.09%
Utility (Water),13,0.71,7.16%,66.27%,28.20%,5.09%,11.09%,3.81%,33.73%,6.03%,6.03%
Total Market,6481,1.00,8.48%,68.30%,42.03%,5.09%,8.35%,3.81%,31.70%,7.00%,7.00%
Total Market (without financials),5214,1.10,8.93%,81.57%,47.00%,5.09%,6.80%,3.81%,18.43%,7.99%,7.99%
