Industry Name,Number of Firms,Beta,Cost of Equity,E/(D+E),Std Dev in Stock,Cost of Debt,Tax Rate,After-tax Cost of Debt,D/(D+E),Cost of Capital
Information Services,67,1.114976923,0.08581117308,0.8825218137,0.4271340734,0.0317,0.1793171053,0.01902,0.1174781863,0.0779646672
Insurance (General),24,1.029314381,0.08088557692,0.6991161893,0.3534520618,0.0317,0.1921071494,0.01902,0.3008838107,0.06227122639
Insurance (Life),25,1.041766426,0.08160156951,0.5840052244,0.3447914506,0.0317,0.2430291807,0.01902,0.4159947756,0.05556796355
Insurance (Prop/Cas.),52,0.8291147959,0.06937410077,0.7524305793,0.3673377216,0.0317,0.2218499362,0.01902,0.2475694207,0.05690796521
Investments & Asset Management,148,1.09822918,0.08484817784,0.5744814612,0.416318629,0.0317,0.06837154564,0.01902,0.4255185388,0.05683706779
Machinery,137,1.226619914,0.09223064507,0.8303320044,0.4621768587,0.0317,0.1564194903,0.01902,0.1696679956,0.07980914166
Metals & Mining,124,1.280921716,0.09535299868,0.6636213857,0.7448770859,0.0417,0.01795498531,0.02502,0.3363786143,0.07169448205
Office Equipment & Services,25,1.342581923,0.09889846058,0.6584084254,0.4987466106,0.0317,0.1865017063,0.01902,0.3415915746,0.07161265145
Oil/Gas (Integrated),8,0.8078021978,0.06814862637,0.9004256835,0.3355800306,0.0317,0.1455694182,0.01902,0.09957431651,0.06325667698
Oil/Gas (Production and Exploration),392,1.266745263,0.09453785261,0.6748554121,0.719289256,0.0417,0.07041991898,0.02502,0.3251445879,0.07193449907
Oil/Gas Distribution,85,0.9642299679,0.07714322316,0.6767999925,0.4315323498,0.0317,0.04677958091,0.01902,0.3232000075,0.058357797
Oilfield Svcs/Equip.,161,1.543276592,0.110438404,0.7835315906,0.6523194092,0.0417,0.1099025759,0.02502,0.2164684094,0.09194801796
Packaging & Container,26,0.947236014,0.0761660708,0.6729601203,0.3105996797,0.0317,0.1818230768,0.01902,0.3270398797,0.05747702668
Paper/Forest Products,22,0.8354536713,0.0697385861,0.6621710688,0.4494191712,0.0317,0.1154486498,0.01902,0.3378289312,0.05260438037
Power,82,0.8293844854,0.06938960791,0.5690246133,0.297015505,0.0317,0.2077435896,0.01902,0.4309753867,0.04768154667
Precious Metals,147,1.293165905,0.09605703953,0.7102366073,0.9369301253,0.0517,0.0132717126,0.03102,0.2897633927,0.0772116863
Publishing & Newspapers,43,1.14713141,0.08766005609,0.6784555054,0.5042237533,0.0367,0.1493197403,0.02202,0.3215444946,0.06655385743
R.E.I.T.,213,0.786004375,0.06689525156,0.5304568846,0.3154658806,0.0317,0.01242625641,0.01902,0.4695431154,0.04441575679
Real Estate (Development),18,1.021596154,0.08044177885,0.687655543,0.4365240689,0.0317,0.0720549636,0.01902,0.312344457,0.06125702668
Real Estate (General/Diversified),11,1.819033654,0.1262944351,0.7839174938,0.4596784643,0.0317,0.0939070679,0.01902,0.2160825062,0.1031143063
Real Estate (Operations & Services),52,1.302313645,0.09658303457,0.6355698819,0.5005354923,0.0367,0.08629086418,0.02202,0.3644301181,0.06941001908
Recreation,68,1.21181796,0.09137953268,0.7596674277,0.5040739262,0.0367,0.1125300389,0.02202,0.2403325723,0.07471017777
Reinsurance,4,1.346170673,0.0991048137,0.7268233408,0.2120352293,0.0267,0.1553314991,0.01602,0.2731766592,0.07640798186
Restaurant/Dining,79,0.8926993778,0.07303021423,0.7820310488,0.4443339995,0.0317,0.1513787602,0.01902,0.2179689512,0.06125766448
Retail (Automotive),30,1.175397559,0.08928535965,0.6658103349,0.4805504275,0.0317,0.1876472068,0.01902,0.3341896651,0.06580340264
Retail (Building Supply),5,1.442309615,0.1046328029,0.8370923165,0.5071373592,0.0367,0.3063725829,0.02202,0.1629076835,0.09117454254
Retail (Distributors),90,1.115179359,0.08582281314,0.6756881382,0.5206080524,0.0367,0.1683892006,0.02202,0.3243118618,0.06513080402
Retail (General),23,1.032122074,0.08104701923,0.7611830538,0.4636049395,0.0317,0.2135663137,0.01902,0.2388169462,0.06623391592
Retail (Grocery and Food),21,1.048253543,0.08197457869,0.6404623322,0.5183199905,0.0367,0.2293760894,0.02202,0.3595376678,0.0604186493
Retail (Online),46,1.39522929,0.1019256842,0.9300562188,0.7016441675,0.0417,0.09379268887,0.02502,0.06994378119,0.09654660983
Retail (Special Lines),128,1.07439887,0.08347793501,0.7069567459,0.5141885716,0.0367,0.2043872067,0.02202,0.2930432541,0.06546810175
Rubber& Tires,4,1.021021635,0.08040874399,0.5326473145,0.4953802113,0.0317,0.1358204528,0.01902,0.4673526855,0.05171854963
Semiconductor,100,1.214466739,0.09153183747,0.9028965842,0.5712338299,0.0367,0.1010964276,0.02202,0.09710341577,0.08478200062
Semiconductor Equip,47,1.233084866,0.09260237981,0.8501470632,0.6018271161,0.0367,0.06881088514,0.02202,0.1498529368,0.08202540291
Shipbuilding & Marine,14,1.361826923,0.1000050481,0.6509650264,0.7144960177,0.0417,0.06748341333,0.02502,0.3490349736,0.0738326438
Shoe,13,0.8425281065,0.07014536612,0.9315769454,0.4079634774,0.0317,0.2015292099,0.01902,0.06842305462,0.06664721241
Software (Entertainment),20,1.115082799,0.08581726095,0.8524938997,0.6984195057,0.0417,0.01461463867,0.02502,0.1475061003,0.07684929408
Software (Internet),327,1.286193566,0.09565613007,0.9470779856,0.7247965537,0.0417,0.05074921065,0.02502,0.05292201438,0.09191792378
Software (System & Application),259,1.103947137,0.08517696037,0.9115891382,0.6184857976,0.0367,0.06864316062,0.02202,0.08841086183,0.07959319908
Steel,40,1.312980235,0.09719636351,0.6096285998,0.52447665,0.0367,0.1398825764,0.02202,0.3903714002,0.06784966123
Telecom (Wireless),21,1.150068269,0.08782892548,0.393107621,0.5304500881,0.0367,0.05762116523,0.02202,0.606892379,0.04788999014
Telecom. Equipment,126,1.242646443,0.09315217048,0.895113249,0.6273728666,0.0367,0.08699116441,0.02202,0.104886751,0.08569134823
Telecom. Services,77,1.068453196,0.08313605875,0.6044824824,0.5559862337,0.0367,0.1183404481,0.02202,0.3955175176,0.05896358691
Tobacco,20,1.085617188,0.08412298828,0.8351053367,0.4173534887,0.0317,0.1238790398,0.01902,0.1648946633,0.07338785295
Transportation,21,0.8570889423,0.07098261418,0.8262359103,0.4235714525,0.0317,0.2007891993,0.01902,0.1737640897,0.06195337783
Transportation (Railroads),10,1.047600962,0.08193705529,0.8318622999,0.3073019156,0.0317,0.2130409265,0.01902,0.1681377001,0.07135832632
Trucking,30,1.324347263,0.09784996764,0.6000170508,0.4849458971,0.0317,0.273769155,0.01902,0.3999829492,0.0663193247
Unclassified,8,0.1042557692,0.02769470673,0.7920439865,NA,#N/A,0.03934689507,#N/A,0.2079560135,#N/A
Utility (General),21,0.5924065934,0.05576337912,0.6199760769,0.2302237496,0.0267,0.3058735112,0.01602,0.3800239231,0.04065994427
Utility (Water),19,1.085514676,0.08411709388,0.6659234011,0.3821232389,0.0317,0.1509769824,0.01902,0.3340765989,0.06236967815
Total Market,7887,1.064118343,0.08288680474,0.6019111758,0.5359783894,0.0367,0.1076103556,0.02202,0.3980888242,0.05865641001
