Industry Name,Number of Firms,Beta,ROE,Cost of Equity,(ROE - COE),BV of Equity,Equity EVA (US $ millions),ROC,Cost of Capital,(ROC - WACC),BV of Capital,EVA (US $ millions),E/(D+E),Std Dev in Stock,Cost of Debt,Tax Rate,After-tax Cost of Debt,D/(D+E)
Advertising,58,1.63,13.57%,13.57%,-0.01%," $ 11,476.88 ", $ (0.59),36.62%,0.10729,25.89%," $ 11,694.87 "," $ 3,027.87 ",68.97%,52.72%,5.88%,6.39%,4.41%,31.03%
Aerospace/Defense,77,1.41,9.87%,12.28%,-2.41%," $ 147,015.92 "," $ (3,539.64)",15.25%,0.10594,4.65%," $ 192,037.33 "," $ 8,939.33 ",79.33%,37.56%,5.50%,8.60%,4.13%,20.67%
Air Transport,21,1.42,-11.37%,12.29%,-23.66%," $ 28,765.63 "," $ (6,805.85)",3.08%,0.06977,-3.90%," $ 119,712.03 "," $ (4,670.86)",34.92%,37.73%,5.50%,10.47%,4.13%,65.08%
Apparel,39,1.32,13.52%,11.75%,1.77%," $ 27,034.95 ", $ 479.54 ,20.57%,0.09155,11.41%," $ 34,272.54 "," $ 3,911.19 ",65.98%,38.51%,5.50%,12.04%,4.13%,34.02%
Auto & Truck,31,1.54,15.68%,13.03%,2.65%," $ 128,453.16 "," $ 3,398.88 ",6.46%,0.10150,-3.69%," $ 424,387.90 "," $ (15,654.73)",66.58%,52.61%,5.88%,3.00%,4.41%,33.42%
Auto Parts,37,1.47,7.03%,12.64%,-5.60%," $ 26,581.37 "," $ (1,488.99)",10.26%,0.10091,0.17%," $ 43,845.33 ", $ 73.96 ,70.10%,39.52%,5.50%,9.30%,4.13%,29.90%
Bank (Money Center),7,1.08,11.35%,10.30%,1.05%," $ 904,585.70 "," $ 9,491.55 ",0.03%,0.05680,-5.65%," $ 1,198,613.66 "," $ (67,769.57)",31.61%,19.59%,4.73%,16.25%,3.55%,68.39%
Banks (Regional),557,0.50,11.80%,6.88%,4.92%," $ 572,447.10 "," $ 28,165.00 ",-0.04%,0.05571,-5.61%," $ 475,117.01 "," $ (26,644.74)",60.75%,16.76%,4.73%,18.84%,3.55%,39.25%
Beverage (Alcoholic),23,1.01,5.28%,9.90%,-4.61%," $ 30,433.39 "," $ (1,403.72)",14.66%,0.08821,5.84%," $ 34,807.64 "," $ 2,031.54 ",81.36%,49.87%,5.50%,9.39%,4.13%,18.64%
Beverage (Soft),31,1.30,31.94%,11.62%,20.32%," $ 71,537.20 "," $ 14,537.94 ",28.72%,0.10629,18.09%," $ 97,667.15 "," $ 17,668.04 ",86.75%,41.72%,5.50%,6.42%,4.13%,13.25%
Broadcasting,26,1.32,20.76%,11.73%,9.03%," $ 42,475.20 "," $ 3,833.62 ",13.52%,0.07207,6.31%," $ 68,090.02 "," $ 4,296.40 ",40.51%,46.90%,5.50%,15.76%,4.13%,59.49%
Brokerage & Investment Banking,30,1.20,13.43%,11.04%,2.40%," $ 286,024.00 "," $ 6,856.30 ",0.06%,0.06421,-6.36%," $ 909,659.64 "," $ (57,891.42)",33.21%,28.00%,5.50%,15.32%,4.13%,66.79%
Building Materials,45,1.28,32.73%,11.47%,21.26%," $ 43,907.50 "," $ 9,335.50 ",34.60%,0.09820,24.78%," $ 47,080.86 "," $ 11,664.96 ",77.56%,29.19%,5.50%,16.71%,4.13%,22.44%
Business & Consumer Services,164,1.17,12.85%,10.84%,2.02%," $ 85,822.48 "," $ 1,729.46 ",23.99%,0.09389,14.60%," $ 79,991.26 "," $ 11,680.15 ",78.45%,45.78%,5.50%,9.43%,4.13%,21.55%
Cable TV,10,1.26,12.14%,11.34%,0.80%," $ 145,443.50 "," $ 1,166.30 ",12.13%,0.07604,4.52%," $ 280,386.78 "," $ 12,679.45 ",48.25%,25.41%,5.50%,21.95%,4.13%,51.75%
Chemical (Basic),38,1.25,34.78%,11.29%,23.49%," $ 45,488.40 "," $ 10,684.88 ",25.38%,0.08955,16.42%," $ 76,172.92 "," $ 12,511.00 ",67.43%,46.58%,5.50%,9.83%,4.13%,32.57%
Chemical (Diversified),4,1.41,43.44%,12.27%,31.17%," $ 5,201.28 "," $ 1,621.00 ",20.35%,0.09273,11.08%," $ 10,120.72 "," $ 1,121.09 ",63.19%,39.49%,5.50%,12.02%,4.13%,36.81%
Chemical (Specialty),76,1.28,11.43%,11.47%,-0.04%," $ 163,428.73 ", $ (63.02),17.83%,0.09888,7.94%," $ 177,924.76 "," $ 14,124.37 ",78.49%,42.32%,5.50%,10.75%,4.13%,21.51%
Coal & Related Energy,19,1.45,74.08%,12.51%,61.58%," $ 3,395.11 "," $ 2,090.64 ",41.79%,0.11062,30.72%," $ 6,428.48 "," $ 1,975.09 ",82.16%,61.96%,5.88%,2.28%,4.41%,17.84%
Computer Services,80,1.17,12.15%,10.84%,1.31%," $ 63,086.38 ", $ 827.18 ,28.39%,0.09189,19.20%," $ 69,433.99 "," $ 13,334.21 ",75.44%,47.78%,5.50%,6.47%,4.13%,24.56%
Computers/Peripherals,42,1.29,96.26%,11.55%,84.71%," $ 111,103.61 "," $ 94,117.12 ",42.63%,0.10904,31.72%," $ 301,920.28 "," $ 95,781.25 ",91.31%,48.73%,5.50%,9.13%,4.13%,8.69%
Construction Supplies,49,1.26,18.78%,11.39%,7.39%," $ 75,176.48 "," $ 5,552.60 ",14.55%,0.09708,4.84%," $ 121,078.04 "," $ 5,859.02 ",76.85%,35.11%,5.50%,10.52%,4.13%,23.15%
Diversified,23,1.04,0.82%,10.05%,-9.22%," $ 552,306.77 "," $ (50,934.38)",2.85%,0.09060,-6.21%," $ 576,661.87 "," $ (35,836.71)",82.48%,57.84%,5.88%,2.98%,4.41%,17.52%
Drugs (Biotechnology),598,1.24,0.68%,11.26%,-10.58%," $ 197,260.06 "," $ (20,866.88)",6.49%,0.10346,-3.85%," $ 449,207.10 "," $ (17,309.69)",86.71%,58.41%,5.88%,0.94%,4.41%,13.29%
Drugs (Pharmaceutical),281,1.27,24.54%,11.41%,13.13%," $ 295,016.34 "," $ 38,730.43 ",19.58%,0.10573,9.01%," $ 523,315.66 "," $ 47,154.62 ",88.02%,64.88%,5.88%,2.37%,4.41%,11.98%
Education,33,1.10,3.19%,10.42%,-7.23%," $ 16,177.60 "," $ (1,169.45)",6.77%,0.08944,-2.17%," $ 14,250.21 ", $ (309.18),76.56%,41.81%,5.50%,7.10%,4.13%,23.44%
Electrical Equipment,110,1.59,13.20%,13.32%,-0.12%," $ 52,951.00 ", $ (63.29),18.40%,0.11685,6.72%," $ 53,616.48 "," $ 3,602.35 ",81.62%,58.55%,5.88%,4.47%,4.41%,18.38%
Electronics (Consumer & Office),16,1.54,1.28%,13.02%,-11.75%," $ 3,089.26 ", $ (362.87),5.46%,0.11764,-6.30%," $ 3,266.19 ", $ (205.78),85.87%,39.56%,5.50%,3.98%,4.13%,14.13%
Electronics (General),138,1.20,12.42%,11.02%,1.40%," $ 69,565.52 ", $ 975.36 ,17.47%,0.09924,7.55%," $ 74,745.58 "," $ 5,643.57 ",84.16%,44.94%,5.50%,6.29%,4.13%,15.84%
Engineering/Construction,43,1.20,7.50%,10.99%,-3.49%," $ 34,138.68 "," $ (1,192.46)",13.83%,0.09341,4.49%," $ 34,854.00 "," $ 1,566.23 ",75.99%,35.17%,5.50%,13.30%,4.13%,24.01%
Entertainment,110,1.45,1.18%,12.49%,-11.31%," $ 161,160.82 "," $ (18,228.19)",11.23%,0.10474,0.76%," $ 144,774.26 "," $ 1,101.86 ",75.03%,57.81%,5.88%,3.45%,4.41%,24.97%
Environmental & Waste Services,62,1.02,16.47%,9.91%,6.56%," $ 28,169.48 "," $ 1,848.68 ",28.32%,0.08734,19.59%," $ 27,327.66 "," $ 5,352.98 ",79.66%,48.09%,5.50%,5.42%,4.13%,20.34%
Farming/Agriculture,39,1.14,23.65%,10.65%,12.99%," $ 60,644.14 "," $ 7,880.54 ",15.17%,0.09074,6.10%," $ 123,591.67 "," $ 7,537.72 ",74.70%,54.43%,5.88%,6.64%,4.41%,25.30%
Financial Svcs. (Non-bank & Insurance),223,0.89,48.08%,9.14%,38.93%," $ 198,384.93 "," $ 77,238.91 ",0.65%,0.04579,-3.93%," $ 7,681,215.48 "," $ (301,522.04)",9.05%,27.15%,5.50%,14.61%,4.13%,90.95%
Food Processing,92,0.92,11.54%,9.33%,2.21%," $ 170,406.96 "," $ 3,763.99 ",18.60%,0.08164,10.43%," $ 164,357.35 "," $ 17,150.63 ",77.60%,34.23%,5.50%,7.74%,4.13%,22.40%
Food Wholesalers,14,1.12,18.98%,10.55%,8.43%," $ 12,344.02 "," $ 1,040.53 ",15.54%,0.08524,7.01%," $ 25,487.51 "," $ 1,787.03 ",68.42%,32.42%,5.50%,11.94%,4.13%,31.58%
